program,routeOrSite,stationOrPoint,latitude,longitude,region,basin,percWetlandAndOpenwater250m,percWetland2500m,percUrban2500m,percAg2500m
glmmp,ON577,G,44.18722222,-76.93344444,southern,ontario,78.99159663865547,28.37794990261358,1.2909362685147439,47.76011233410337
glmmp,ON577,H,44.18327778000005,-76.92477778,southern,ontario,100,27.206181374542496,1.1386742578283855,42.60539514707876
glmmp,ON577,I,44.17791667,-76.93022222,southern,ontario,100,25.323032438781965,0.8041926447998554,31.54423059546399
glmmp,ON578,A,44.17913889000006,-76.93502778,southern,ontario,81.40495867768595,25.006784260515605,0.9271822704658526,33.81275440976933
glmmp,ON578,B,44.180027780000025,-76.93802778,southern,ontario,56.910569105691046,25.44739696312364,0.9173897324656544,35.41666666666667
glmmp,ON578,C,44.182305560000046,-76.93919444,southern,ontario,48.73949579831933,26.912450745051856,1.0688889895375695,39.00086054622039
glmmp,ON578,D,44.18427778000002,-76.93747222,southern,ontario,58.79828326180257,27.733260899090048,1.1861107338494274,42.31970664131469
glmmp,ON578,E,44.18627778000001,-76.93586111,southern,ontario,52.82258064516129,28.495255309534564,1.2516945323090827,45.86985991866245
glmmp,ON578,F,44.18997221999997,-76.93319444,southern,ontario,70.41666666666667,28.622483600995253,1.3752544673150873,51.775616376385436
glmmp,ON579,A,44.164222,-76.88582,southern,ontario,45.96774193548387,12.095754290876243,1.3640469738030714,59.88708220415538
glmmp,ON579,B,44.161570000000076,-76.88279,southern,ontario,44.62809917355372,10.187194791101465,1.3564839934888768,64.32447097124255
glmmp,ON579,C,44.158649999999945,-76.88308,southern,ontario,57.72357723577236,9.797984362995436,1.7038007863695939,64.9613594251367
glmmp,ON579,D,44.159139999999994,-76.88692,southern,ontario,100,10.90761090761091,1.1803011803011803,60.1501379279157
glmmp,ON579,E,44.15203,-76.90257,southern,ontario,52.82258064516129,11.5634884771803,0.8088567555354722,50.28468142792589
glmmp,ON579,F,44.15340000000005,-76.91153000000001,southern,ontario,100.00000000000001,10.84451674122272,1.0257105417739822,39.75419095386562
glmmp,ON579,G,44.154969999999985,-76.91571,southern,ontario,82.5,10.685365301967881,1.0223931237276633,34.254693508256054
glmmp,ON579,H,44.15206999999997,-76.91682,southern,ontario,88.35341365461846,9.416493541685483,1.1245596603739498,38.94408815825129
glmmp,ON580,A,44.01199000000003,-77.73868,southern,ontario,96.34146341463416,27.37379671894066,14.046187915216704,15.28901342251548
glmmp,ON580,B,44.013333330000044,-77.73538889,southern,ontario,90,27.314270201791693,15.016740566464573,14.342593430458784
glmmp,ON580,C,44.01447222000001,-77.73252778,southern,ontario,82.23140495867767,27.574825933628716,15.575549326340536,13.545528528800071
glmmp,ON580,D,44.0112499999999,-77.73586111,southern,ontario,99.58847736625513,27.078717728444182,13.740561558981778,13.02165754849211
glmmp,ON580,E,44.01161111000005,-77.73261111,southern,ontario,100,27.131292117045817,13.816652344986661,11.82216996065307
glmmp,ON580,F,44.009750000000025,-77.73502778,southern,ontario,86.25,26.308172402876394,13.02066844557008,11.709104065849576
glmmp,ON580,G,44.009249999999966,-77.73072222,southern,ontario,97.98387096774194,26.556710347943966,12.643470402169003,9.177586985991866
glmmp,ON580,H,44.008194439999976,-77.72672222,southern,ontario,100,26.877345268773453,11.944482119444821,7.170306071703061
glmmp,ON581,A,43.995027780000015,-77.72052778,southern,ontario,90.08264462809917,18.6188494934877,3.088820549927641,6.254522431259045
glmmp,ON581,B,43.99744443999997,-77.72233333,southern,ontario,100,19.12768361581921,4.40225988700565,6.472316384180791
glmmp,ON581,C,43.99727777999999,-77.71908333,southern,ontario,100,19.274386662449736,3.9398183707585956,6.53774906248588
glmmp,ON581,D,43.99902777999999,-77.71730556,southern,ontario,100,19.785636758321274,5.11486975397974,6.715810419681621
glmmp,ON581,E,44.000361109999965,-77.71402778,southern,ontario,100,20.0506008855155,5.683563748079877,6.659437968735881
glmmp,ON581,F,44.00394444,-77.71013889,southern,ontario,100,21.88361893566035,7.351810824252837,6.542478636343084
glmmp,ON581,G,44.00313888999998,-77.71472222000001,southern,ontario,100,21.450833370974298,7.8549166629025695,6.947016577081168
glmmp,ON581,H,44.00163999999997,-77.71733333,southern,ontario,100.00000000000001,20.835969272480796,7.356529597831001,6.9317668323542705
glmmp,ON582,A,44.00536111000006,-77.71797222,southern,ontario,100,23.318872017353577,9.982827187274044,7.1990238611713675
glmmp,ON582,B,44.00347222000005,-77.72022222,southern,ontario,97.09543568464731,22.281011169900058,9.125853570298014,7.090851535295979
glmmp,ON582,C,44.003361110000014,-77.72336111,southern,ontario,93.95161290322581,22.15996384997741,9.783099864437416,6.814279258924537
glmmp,ON582,D,44.004138889999986,-77.72630556,southern,ontario,93.80165289256198,23.25118697716482,10.562966312457608,6.529504860954104
glmmp,ON582,E,44.00058333000004,-77.7235,southern,ontario,92.71255060728744,20.687005649717513,7.046327683615819,6.589830508474575
glmmp,ON582,F,44.00116666999998,-77.72688889,southern,ontario,84.54935622317598,20.990000452468212,8.216822768200533,6.072123433328809
glmmp,ON582,G,43.998861110000036,-77.72641667,southern,ontario,92.14876033057851,19.898697539797396,5.72992040520984,5.856548480463097
glmmp,ON582,H,43.994083330000045,-77.72397222,southern,ontario,87.34693877551021,17.99819249887031,3.0863081789426117,5.603253502033438
glmmp,ON583,A,44.17666000000003,-77.09707,southern,ontario,77.08333333333334,15.368611488014475,10.922659430122117,32.86748077792854
glmmp,ON583,B,44.1789,-77.09686,southern,ontario,56.048387096774185,15.34917336706116,11.089529316108049,34.61017255397959
glmmp,ON583,C,44.17901000000003,-77.10268,southern,ontario,52.4793388429752,17.36613603473227,11.120658465991317,36.04377713458755
glmmp,ON584,A,44.17222000000007,-77.10608,southern,ontario,89.06882591093117,15.310918293564715,9.562545191612436,34.887924801156906
glmmp,ON585,A,44.05491000000001,-77.57221,southern,ontario,52.1551724137931,14.282480760525123,9.388863739248528,28.718877320054325
glmmp,ON586,A,44.06380000000005,-77.60463611,southern,ontario,71.25,31.59370477568741,8.628798842257599,38.078871201157746
glmmp,ON586,B,44.0624,-77.60735,southern,ontario,78.5425101214575,32.926663955537485,8.305092404319732,40.65790068230084
glmmp,ON586,C,44.05969000000001,-77.62087500000001,southern,ontario,70.44534412955466,34.63068438658349,6.911671639092306,52.22855076394539
glmmp,ON586,D,44.066269999999946,-77.60616,southern,ontario,42.241379310344826,29.867306734296452,8.595625198134142,40.93111725012454
glmmp,ON586,E,44.05270999999996,-77.61042,southern,ontario,87.85425101214575,34.972430624604534,8.483232396275875,42.33029015637711
glmmp,ON586,F,44.05114000000006,-77.61585,southern,ontario,79.03225806451613,36.33200795228628,7.780589192120008,43.751129586119646
glmmp,ON587,A,44.052500000000066,-77.60832,southern,ontario,89.91935483870967,34.029284164859,8.920824295010846,40.91196673897324
glmmp,ON587,B,44.05165000000003,-77.61094,southern,ontario,90.3765690376569,35.23956024069131,8.40157444690766,41.63235759851604
glmmp,ON587,C,44.05071000000001,-77.6142,southern,ontario,87.13692946058092,35.990228897132,7.952592056455261,42.59477065050212
glmmp,ON587,D,44.04945999999998,-77.61735,southern,ontario,88.36206896551724,36.90810321412403,7.6731552738795825,42.67994567677682
glmmp,ON587,E,44.04883000000001,-77.62056,southern,ontario,70.6896551724138,37.76027521274669,6.839579938439252,43.45011768966142
glmmp,ON587,F,44.047740000000076,-77.62332,southern,ontario,70.32520325203252,38.09609908240293,5.383537494914795,44.09438141300908
glmmp,ON588,A,44.18007000000009,-77.0549,southern,ontario,100,4.577735558872755,8.775500972542634,22.214683132039625
glmmp,ON588,B,44.17794000000002,-77.05631,southern,ontario,100,4.992312562177805,9.062132585692321,20.08230080491996
glmmp,ON588,C,44.179519999999975,-77.05884,southern,ontario,100,5.146859466787167,9.850881156800725,21.260732037957524
glmmp,ON589,A,44.202399999999926,-76.99875,southern,ontario,64.58333333333333,16.31757520922868,4.686722460981678,51.92490386790318
glmmp,ON589,B,44.20399999999997,-76.99619,southern,ontario,66.11570247933884,17.06534026678725,4.747908659281031,52.199864345466885
glmmp,ON589,C,44.20505999999999,-76.99287,southern,ontario,81.78137651821862,17.31212436169732,4.53703285281757,52.92602467350535
glmmp,ON589,D,44.204950000000046,-76.98960000000001,southern,ontario,72.53218884120172,17.161746060496284,4.324397754030067,53.341785908349934
glmmp,ON589,E,44.204950000000046,-76.98960000000001,southern,ontario,72.53218884120172,17.161746060496284,4.324397754030067,53.341785908349934
glmmp,ON590,A,44.16816000000002,-77.13351,southern,ontario,73.89558232931726,12.11984274029554,5.314293461069185,45.044963622395954
glmmp,ON590,B,44.16970000000005,-77.13087,southern,ontario,67.78242677824268,12.56051762363694,6.406949911768699,45.29206823220668
glmmp,ON590,C,44.171550000000046,-77.12822,southern,ontario,61.63265306122449,14.103027564392228,7.189335743334839,44.31992769995482
glmmp,ON590,D,44.17422,-77.1238,southern,ontario,36.92946058091287,17.37144407760843,7.652299760300303,42.53086698928135
glmmp,ON591,A,44.169700000000056,-77.20443,southern,ontario,56.68016194331984,33.8544961590601,1.5363759602349751,19.502937189335746
